director,director_score
Patrick Jamain,0
Mehdi Charef,0
Petru Popescu,0
Caroline Huppert,0
Peter Faiman,5
Howard Deutch,5
Mike Marvin,1
David Anspaugh,1
Lizzie Borden,1
Stephen King,0
David Seltzer,5
Tom McLoughlin,1
Edward Zwick,5
Stephen Herek,5
John McNaughton,1
Fred Dekker,0
Robert Harmon,1
Harry Winer,0
Nelson Shin,0
John Carl Buechler,1
Spike Lee,5
Brian Gibson,1
Leos Carax,0
Anthony Perkins,1
Gary Nelson,0
Masanori Hata,1
Derek Jarman,1
Randa Haines,5
Pedro Almodóvar,5
Fred Walton,1
Roman Polanski,5
Trevor Nunn,0
Claude Berri,1
Charles Martin Smith,5
Penny Marshall,5
Duncan Gibbins,0
David Byrne,1
Jimmy T. Murakami,1
Tom DeSimone,1
Paul Michael Glaser,1
Richard Wenk,1
Ted Nicolaou,1
Thomas Michael Donnelly,1
Harley Cokeliss,0
Robert M. Young,1
Peter Manoogian,1
Jerry Kramer,1
Kevin Tenney,1
Christopher Morahan,1
Prince,1
Nadia Tass,1
George Mendeluk,1
Julien Temple,0
Jeffrey Delman,1
William Fruet,0
Emilio Estevez,1
Jim Goddard,0
Director,1
David Beaird,1
Bob Swaim,1
Moshé Mizrahi,1
Denys Arcand,1
Gene Saks,0
Paul Schneider,1
Bill Sherwood,0
Daryl Duke,0
Bob Weinstein,1
Tom Moore,1
Andrew Lane,1
Michelle Manning,0
Zoran Perisic,0
Bertrand Blier,1
Simon Langton,1
Dale Schott,1
Dominic Orlando,1
Renny Harlin,5
Eugene Corr,1
Eliseo Subiela,0
Allan Burns,1
Henning Carlsen,1
Gideon Amir,1
Fred Olen Ray,0
Jerrold Freedman,0
Fons Rademakers,1
Evelyn Purcell,1
Deran Sarafian,0
Frank Harris,0
Claude Lelouch,0
Emile Ardolino,5
Chris Columbus,5
Kathryn Bigelow,5
Michael Gottlieb,1
Gary Goddard,0
Clive Barker,1
Chuck Russell,5
Bruce Robinson,0
Bernardo Bertolucci,0
Marek Kanievska,1
Joe Roth,5
William Dear,5
Michael Gornick,1
Jim Drake,1
Jimmy Huston,1
Jeffrey Bloom,1
Tom Mankiewicz,1
Danny DeVito,5
Christopher Leitch,1
David Hugh Jones,1
Tibor Takács,1
John R. Cherry III,5
Steve De Jarnatt,0
Barbet Schroeder,0
Alan Clarke,1
Peter Werner,0
Elaine May,0
Norman Mailer,0
Gabriel Axel,1
Percy Adlon,1
Phil Joanou,0
William Phelps,1
Ethan Wiley,1
David Mamet,0
Élie Chouraqui,0
Peter R. Hunt,1
Lyndall Hobbs,1
Cheech Marin,1
Bille August,0
Janice Karman,1
Tamar Simon Hoffs,1
Bruce Pittman,1
Bob Giraldi,1
Jeff Bleckner,1
John Flynn,1
Dennis Feldman,1
Pat O'Connor,5
Ben Bolt,1
David Leland,1
René Laloux,1
David Keith,1
Lindsay Anderson,1
Wayne Wang,5
Lee Harry,0
David DeCoteau,0
Tom Daley,0
Robert Collector,1
Mary Lambert,1
Paul Weiland,5
Donald Cammell,0
Robert Townsend,1
Melvin Frank,0
Bill Froehlich,1
Michael Hoffman,5
Arthur Penn,1
Charlie Loventhal,1
Abel Ferrara,0
Christine Edzard,1
John Duigan,1
Peter Greenaway,1
Phil Alden Robinson,5
Diane Kurys,1
Bigas Luna,0
Nikita Mikhalkov,1
Stephen Carpenter,0
Peter Del Monte,1
Bill Condon,5
Terry Leonard,1
Dorothy Ann Puzo,1
Paul Newman,1
Yurek Bogayevicz,1
John Cornell,5
Michael Lehmann,5
Donald Petrie,5
Katsuhiro Ôtomo,1
Giuseppe Tornatore,5
David Zucker,5
Charles Crichton,5
Newt Arnold,1
Peter MacDonald,5
John Waters,0
Ron Shelton,5
George Scribner,1
Zalman King,1
Stephen Chiodo,0
Dwight H. Little,5
Keenen Ivory Wayans,5
Stan Winston,1
Greg Beeman,1
Tony Randel,1
Dennis Hopper,1
Robert Bierman,0
Ken Annakin,0
Ramón Menéndez,1
William Lustig,1
Zelda Barron,1
Anthony Hickox,1
Kar-Wai Wong,5
Bud S. Smith,0
Francis Megahy,1
Kenneth Johnson,0
William Richert,1
Carl Schultz,1
Craig R. Baxley,1
Frank LaLoggia,0
David Green,0
Mick Garris,1
Mark Goldblatt,0
Joan Freeman,1
Paul Flaherty,1
Geneviève Robert,1
Rowdy Herrington,0
Steven Kampmann,1
Mira Nair,1
Yahoo Serious,1
Geoff Burrowes,1
Roger Vadim,1
Mike Leigh,1
Bruno Nuytten,1
Ken Kwapis,5
Catherine Breillat,1
Annabel Jankel,0
Aaron Norris,1
Jon Hess,1
Camilo Vila,1
Jim Wynorski,0
Ernest Thompson,0
Henry Winkler,1
Claire Denis,1
Andrew Fleming,1
Bernard Rose,0
James B. Harris,1
Paul Golding,0
Mike Figgis,1
Matthew Chapman,0
Gary Sinise,1
Glenn Gordon Caron,1
Joan Micklin Silver,1
David Stevens,1
Robert Englund,1
James Dearden,1
Keith Gordon,0
William Webb,0
Pen Densham,0
Janet Greek,0
Charles Sturridge,1
Martin Campbell,5
Gordon Hessler,1
Marisa Silver,0
Terence Davies,0
Daniel Goldberg,1
Christopher Crowe,0
Bill Fishman,0
Martin Donovan,0
Ron Clements,5
Joe Johnston,5
Steven Soderbergh,5
Jeremiah S. Chechik,1
Cameron Crowe,5
Eddie Murphy,1
Jim Sheridan,5
Richard Greenberg,1
Todd Holland,1
Jay Levey,1
William Shatner,1
Robert Radler,0
Phillip Noyce,5
Mark DiSalle,1
Gus Van Sant,5
Stephen Hopkins,5
Marc Rocco,1
Dominique Othenin-Girard,1
Kenneth Branagh,5
Rob Hedden,1
Michael Caton-Jones,5
Steve Kloves,1
Chris Walas,1
Joe Pytka,5
John Dahl,0
Michael Anderson,1
Uli Edel,1
Masami Hata,0
Carl Schenkel,0
Peter Bonerz,0
David Webb Peoples,1
Francis Veber,1
Thomas J. Wright,1
Larry Cohen,0
Mick Jackson,5
Jeff Burr,1
Christopher Guest,0
Bob Balaban,0
Gary David Goldberg,1
Norman René,1
John Howley,1
Euzhan Palcy,0
Dave Thomas,1
Hal Hartley,0
James Isaac,1
Mel Smith,5
Michael Herz,0
Takeshi Kitano,1
Richard Baskin,0
Jane Campion,5
Thomas Schlamme,0
Damian Harris,1
Robert Wise,1
Jim Wheat,0
Jim Kouf,1
Michael Schroeder,0
Ildikó Enyedi,0
Thierry Notz,1
Cedric Sundstrom,1
Will Mackenzie,1
Gérard Kikoïne,0
Robert Ellis Miller,0
Jeff Blyth,1
Patrice Leconte,1
John D. Hancock,1
Howard Brookner,0
Lee Grant,1
Michael A. Simpson,0
David Odell,1
Patrick Sheane Duncan,0
Nancy Savoca,1
Joel Zwick,5
Michael Fischa,1
Jerry Zucker,5
Kevin Costner,5
Ron Underwood,1
Volker Schlöndorff,1
Frank Marshall,5
Harry Hook,1
John Lafia,1
John Patrick Shanley,1
Richard Linklater,5
William Peter Blatty,1
Jack Nicholson,0
Sheldon Lettich,1
Dennis Dugan,5
Hendel Butoy,0
Reginald Hudlin,5
Tom Savini,1
Allan Moyle,1
Frank Henenlotter,0
Sally Mattison,1
Luis Mandoki,5
Abbas Kiarostami,1
Howard Franklin,0
Richard Stanley,1
James Orr,1
Andrew Bergman,5
Ralph S. Singleton,1
Tom Stoppard,1
John Harrison,1
Whit Stillman,1
Agnieszka Holland,1
Jean-Paul Rappeneau,1
Anthony Minghella,5
Bob Hathcock,1
Joseph Barbera,1
Bob Logan,1
George Armitage,0
Peter Israelson,0
Robert Resnikoff,1
Yimou Zhang,5
Martin Sheen,0
Adam Simon,1
Tom Ropelewski,0
Dario Argento,0
Jan Egleson,0
Roger Corman,0
Franco Amurri,1
Richard Correll,1
Robert Shaye,1
Ken Loach,5
Patrick Read Johnson,0
James Bond III,1
James D. Parriott,1
Yves Robert,1
Katt Shea,0
John Erman,1
Greydon Clark,1
Gregg Champion,0
Kristine Peterson,1
Jon Amiel,5
Sondra Locke,0
Christian Vincent,0
Haruki Kadokawa,0
Bernt Amadeus Capra,1
Michael Verhoeven,1
Guy Maddin,0
John Singleton,5
Bryan Gordon,1
Barry Sonnenfeld,5
Alfonso Cuarón,5
Gary Trousdale,5
Jon Avnet,5
Peter Hewitt,5
Michael Mak,0
William A. Graham,0
Ate de Jong,1
Dan Aykroyd,0
Krzysztof Kieslowski,1
Mario Van Peebles,5
Daniel Petrie Jr.,1
Marc Caro,0
Jack Bender,1
Rachel Talalay,0
Brian Levant,5
Lili Fini Zanuck,0
Isao Takahata,1
Sean Penn,1
Phil Nibbelink,1
Stephen Poliakoff,1
Michael Tolkin,1
David Kellogg,1
Burt Kennedy,1
Mark Herrier,1
Michael Karbelnikoff,0
Terry Hughes,1
Peter Chelsom,5
Jodie Foster,5
Bobcat Goldthwait,0
Lars von Trier,1
Tom DiCillo,1
Jonathan Wacks,0
Jerry Rees,0
Todd Haynes,1
Gabriele Salvatores,1
George Jackson,1
Simon Moore,0
József Gémes,0
Atom Egoyan,0
Maurice Phillips,0
Sylvio Tabet,0
Bill Duke,1
Jocelyn Moorhouse,1
James Lapine,1
Irwin Winkler,1
Frank De Felitta,1
Alain Corneau,1
Eric Red,0
Heywood Gould,1
Kevin Hooks,1
Mark Joffe,1
George Gallo,0
Jeffrey Hornaday,1
Julie Dash,1
Mary Agnes Donoghue,1
Claude Chabrol,1
Michael Lindsay-Hogg,1
Radha Bharadwaj,0
Avi Nesher,0
Michael Bortman,1
Rodman Flender,0
Maurice Pialat,1
Vicente Aranda,1
Roberto Benigni,5
