director,director_score
Ross Katz,1
Luke Scott,1
Kelly Fremon Craig,1
Babak Najafi,5
Dan Kwan,1
Jake Szymanski,1
Mike Thurmeier,5
Michael Grandage,1
Ivan Sen,1
Dave Green,5
Elizabeth Wood,1
David L. Hunt,0
Anna Biller,1
Clay Kaytis,5
Hideaki Anno,5
Jeremy Gillespie,1
David Leveaux,1
Pablo Larraín,1
Peter Atencio,1
Andrew Neel,1
Travis Knight,5
Chris Peckover,1
Sam Liu,1
Amat Escalante,1
Jason Zada,1
John Krasinski,5
Maren Ade,1
Radhika Rao,1
Carles Torrens,1
Takeshi Nozue,1
Jonathan Jakubowicz,0
Susan Johnson,1
Aniruddha Roy Chowdhury,1
Babak Anvari,1
Ewan McGregor,1
Sarah Adina Smith,1
Simon Aboud,1
Michael Gracey,5
Hallie Meyers-Shyer,1
Jordan Peele,5
Sebastián Lelio,1
David Leitch,5
Taylor Sheridan,1
Greta Gerwig,5
Aaron Sorkin,1
Dean Devlin,5
Brian Fee,5
Lucia Aniello,1
Dax Shepard,1
Chris McKay,5
Michael Noer,1
Cory Finley,0
Coralie Fargeat,1
James Franco,1
Johannes Roberts,5
Stella Meghie,5
Jamie M. Dagg,1
John Carroll Lynch,1
Björn Runge,1
Trey Edward Shults,1
Ry Russo-Young,1
Matt Spicer,1
Denise Di Novi,1
Dorota Kobiela,1
Hany Abu-Assad,1
Francis Lee,1
Janus Metz,1
Kogonada,1
Jeff Baena,1
Stuart Hazeldine,5
F. Javier Gutiérrez,5
Chloé Zhao,1
Charlie Bean,5
Marc Meyers,1
Andrew Jay Cohen,0
Sergio G. Sánchez,1
Max Winkler,1
Gabriela Cowperthwaite,1
Benny Boom,1
Andy Serkis,1
Hun Jang,5
Mike White,1
Ash Avildsen,1
Justin Chon,1
Fatih Akin,1
Richie Keen,1
Ken Marino,5
Paolo Virzì,1
Michael Carney,0
Jayson Thiessen,5
Jeffrey Blitz,1
Lawrence Sher,1
Luis Prieto,1
Jeremy Dyson,1
Jonathan Teplitzky,1
Eliza Hittman,1
Haifaa Al-Mansour,1
Kevin Phillips,1
Robin Campillo,1
Shin-yeon Won,1
Pat Healy,1
Dominic Cooke,1
Simon Baker,1
Byung-gil Jung,1
Yong-hwa Kim,5
Ari Aster,5
Bob Persichetti,5
Christian Gudegast,1
Bradley Cooper,5
Bo Burnham,1
Stefano Sollima,1
Gerard McMurray,5
Claire McCarthy,0
Corin Hardy,5
Jeff Tomsic,1
Donovan Marsh,0
Duncan Skiles,1
Otto Bathurst,0
Nadine Labaki,5
Nicolai Fuglsig,1
Susanna Fogel,1
Josie Rourke,1
Phil Johnston,5
Christian Rivers,0
Steven Caple Jr.,5
Jonah Hill,0
Chang-dong Lee,1
Aneesh Chaganty,5
Kay Cannon,5
Carlos López Estrada,1
Abby Kohn,5
Drew Pearce,0
Bill Holderman,5
Crispian Mills,1
Boots Riley,1
Steven S. DeKnight,5
Rob Greenberg,5
Joe Penna,1
Mathew Cullen,0
Sriram Raghavan,5
Anthony Maras,1
Bart Layton,1
Kevin Connolly,0
Stacie Passon,1
Desiree Akhavan,1
Adam Robitel,5
David Kerr,5
Paul Dano,1
Bethany Ashton Wolf,1
Shin'ichirô Ushijima,1
Ali Abbasi,1
Nash Edgerton,1
Sam Levinson,0
Stephen Susco,1
Karey Kirkpatrick,5
Gregory Plotkin,1
Matthew Heineman,1
Tom Harper,1
Diederik Van Rooijen,1
Carol Morley,1
Yarrow Cheney,5
Wash Westmoreland,1
Tim Kirkby,0
Gustav Möller,1
Brady Corbet,1
Emma Tammi,1
Becca Gleason,1
Blake Harris,1
Director X.,1
Nick Park,1
Andrew Erwin,5
Kim Nguyen,1
Tatsuya Nagamine,5
Jonathan Baker,0
Pella Kagerman,1
Pernille Fischer Christensen,1
John Andreas Andersen,1
Kenji Nagasaki,1
Perry Lang,1
Stephen Merchant,1
Jenny Gage,5
Matt Bettinelli-Olpin,5
Michael Engler,5
Olivia Wilde,1
Robin Bissell,1
Josh Cooley,5
Simon Kinberg,5
David Yarovesky,1
Tyler Nilson,5
Gene Stupnitsky,5
Justin Baldoni,5
Hans Petter Moland,1
Gary Dauberman,5
Adrian Grunberg,1
Nisha Ganatra,1
Joe Talbot,1
Michael Chaves,5
Thurop Van Orman,5
Kevin Kölsch,5
Riley Stearns,1
Vincent D'Onofrio,0
Lars Klevberg,1
Julius Onah,1
Joanna Hogg,1
Lulu Wang,1
Chris Addison,5
Jason Winer,1
Andrea Berloff,0
Elise Durán,1
Jill Culton,5
Todd Strauss-Schulson,1
Malik Bader,1
Gail Mancuso,5
Dome Karukoski,0
Lee Cronin,1
Paul Downs Colaizzo,1
Vikas Bahl,1
Dylan Brown,1
Won-Tae Lee,1
Fred Durst,0
Laure de Clermont-Tonnerre,1
Jesse V. Johnson,0
Frant Gwo,5
Waymon Boone,0
Roxann Dawson,1
Zara Hayes,1
Tina Gordon,1
Nicholas McCarthy,1
Yu Yang,5
Shawn Seet,1
John Stalberg Jr.,1
John Swab,1
Byeong-heon Lee,5
Noble Jones,1
J.J. Englert,1
Abhishek Varman,1
Abhishek Chaubey,1
Jagan Shakti,1
Melanie Martinez,0
Sujeeth,1
Sang-Geun Lee,5
Van Ling,1
Britt Poulton,1
Chuck Konzelman,1
Punit Malhotra,1
Joo-hwan Kim,1
Laxman Utekar,1
Akiv Ali,1
Lucio Castro,1
Alex Ranarivelo,1
Gorô Taniguchi,1
Hannah Pearl Utt,1
Robert Fernandez,1
Eddie Mensore,0
Kirill Mikhanovsky,1
Robbie Grewal,1
Le-Van Kiet,1
Shelly Chopra Dhar,1
Roxanne Benjamin,1
Tony Chan,5
Ali Abbas Zafar,1
Mark Bramble,1
Claudio Giovannesi,1
Richard Grieco,0
Tony Wash,0
Jerry Mitchell,1
Rich Christiano,1
Jung Da-Won,1
Drew Cullingham,1
T.C. Christensen,1
Indra Kumar,1
Shane Stanley,1
Nacho G. Velilla,1
Jazz Boon,5
Noo-ri Park,1
Marie Kreutzer,1
Andoy Ranay,0
Aneesh Daniel,1
Yutaka Uemura,1
Ariel Winograd,1
Antoinette Jadaone,1
Raj Kumar Gupta,1
Jason Kwan,1
Dylan Thomas Ellis,1
Jeffrey Nicholson,1
David Stuart Snell,0
Monia Chokri,1
Cathy Yan,5
Adil El Arbi,5
Jeff Fowler,5
Chris Sanders,0
Hu Guan,5
Scott Teems,1
Kenneth Smith,0
Teng Cheng,5
Scott Pryor,1
Marcus Brown,0
Kevin Shulman,1
Stefan C. Schaefer,0
Justin Kreinbrink,0
Joseph Ebanks,0
Dusty Dukatz,0
Nkanya Nkwai,0
James Randall,0
Pereko Mosia,0
