star,star_score
Kim Ok-bin,1
Brett Dalton,1
Douglas Smith,1
Ha Jung-woo,5
Constance Wu,5
John David Washington,5
Boyd Holbrook,5
Alden Ehrenreich,5
Bella Thorne,1
Lady Gaga,5
Elsie Fisher,1
Olivia Colman,5
Benicio Del Toro,1
Y'lan Noel,5
Demián Bichir,5
Hannah Murray,1
Sofia Boutella,1
Zain Al Rafeea,5
Thomasin McKenzie,1
Justin Theroux,1
Jovan Adepo,1
Claire Foy,1
Hera Hilmar,0
Sunny Suljic,0
Viola Davis,1
Yoo Ah-in,1
Leslie Mann,5
Angourie Rice,1
Lily Franky,5
Daveed Diggs,1
Aisling Franciosi,1
Jassa Ahluwalia,1
LaKeith Stanfield,1
Joanna Kulig,1
Lucy Hale,5
Graham Verchere,1
Storm Reid,1
Amber Heard,0
Ayushmann Khurrana,5
Spencer Reinhard,1
Aldis Hodge,0
Taissa Farmiga,1
Lin Shaye,5
Lucas Hedges,1
Ed Oxenbould,1
Alex Roe,1
Mahiro Takasugi,1
José Luis Ferrer,1
David Tennant,1
Eva Melander,1
Odessa Young,0
Colin Woodell,1
Mackenzie Foy,5
Cynthea Mercado,1
Rosamund Pike,1
Kyrie Irving,1
Shay Mitchell,1
KiKi Layne,1
Mamie Gummer,1
Alek Skarlatos,1
Chris O'Dowd,1
Jakob Cedergren,1
Tom Schilling,1
Caitlin Gerard,1
Tika Sumpter,1
Alia Shawkat,1
William Moseley,1
Deepika Padukone,5
Trevor Jackson,1
J. Michael Finley,5
Masako Nozawa,5
Myles Truitt,0
Emelie Garbers,1
Alba August,1
Wendi McLendon-Covey,5
Tiffany Haddish,1
Batsheva Dance Company,1
Daiki Yamashita,1
Taylor Russell,5
Himesh Patel,5
Josephine Langford,5
Roman Griffin Davis,5
Zachary Levi,5
Dean-Charles Chapman,5
Rosa Salazar,5
Lupita Nyong'o,5
Samara Weaving,5
David Harbour,1
Linda Hamilton,5
Isabela Merced,5
Donald Glover,5
Kyle Chandler,5
Sasha Luss,1
Noémie Merlant,1
Zack Gottsagen,5
Octavia Spencer,5
Haley Lu Richardson,5
Jimmie Fails,1
Patton Oswalt,5
Linda Cardellini,5
Zoe Margaret Colletti,5
Michael Ealy,1
Kotaro Daigo,5
Jake Schur,0
Marc Maron,1
Neil Young,1
Shuzhen Zhao,1
Dave Bautista,1
Billy Barratt,1
Chloe Bennet,5
Rebel Wilson,1
Seána Kerslake,1
Jillian Bell,1
Sushant Singh Rajput,1
Gina Rodriguez,1
Sofia Mali,1
Ma Dong-seok,1
Matthias Schoenaerts,1
Jing Wu,5
Louis Ashbourne Serkis,0
Caylee Cowan,0
Marcel Ruiz,1
Yanting Lü,5
Finn Little,1
Vijay Varma,1
Beau Knapp,1
Jake Choi,1
Lee Dong-yong,5
Yara Shahidi,0
Peta Murgatroyd,1
Varun Dhawan,1
Akshay Kumar,1
Melanie Martinez,0
Mrunal Thakur,1
Jo Jung-Suk,5
Tania Raymonde,1
Walton Goggins,1
Ashley Bratcher,1
Tiger Shroff,1
Seo Jun Park,1
Kartik Aaryan,1
Juan Barberini,1
Michael Roark,1
Jun Fukuyama,1
Hannah Pearl Utt,1
David Thorpe,1
Terry Serpico,0
Chris Galust,1
John Abraham,1
Veronica Ngo,1
Nawazuddin Siddiqui,1
Sonam Kapoor,1
Karina Fontes,1
Xiaoming Huang,5
Bonnie Langford,1
Francesco Di Napoli,1
Ace Young,0
Matt Henry,1
Brett Varvel,1
Mi-ran Ra,1
Spencer Brown,1
David McConnell,1
Vidyut Jammwal,1
Hanyu Zhang,5
Miko Hughes,1
Martha Higareda,1
Louis Koo,5
Ryu Jun-Yeol,1
Valerie Pachner,1
JC Santos,0
Sharman Joshi,1
Tesshô Genda,1
Bo Huang,5
Liza Soberano,1
Arjun Kapoor,1
Tony Ka Fai Leung,1
Cole Allen,1
Michael Saquella,1
Alexandra Bokova,0
Anne-Élisabeth Bossé,1
Elisabeth Moss,5
Ben Schwartz,5
Zhi-zhong Huang,5
Shea Whigham,1
Robert Pralgo,0
Guangtao Jiang,5
Scott Pryor,1
Dan Belcher,0
Kristina Klebe,1
Augie Tulba,0
Nicky Whelan,0
Billy Hartmann,0
Shannon Bond,0
Onyama Laura,0
Christina Roz,0
Siyabonga Mabaso,0
