writer,writer_score
Robert Dunn,1
Brad Anderson,0
Jon Zack,1
John Cameron Mitchell,1
Gene Brewer,0
Tom Green,1
Herman Raucher,1
Sakichi Sato,0
Harley Peyton,0
Kaja Blackley,0
Andre Dubus,1
Louis C.K.,0
Cinco Paul,5
Stephen Chow,5
John A. Davis,5
Jan Skrentny,0
Keiko Nobumoto,1
Éva Gárdos,1
Michael Bacall,5
Ashutosh Gowariker,1
Michael Sloane,0
Tom Savage,1
Hironobu Sakaguchi,0
Susan Swan,1
Mandy Nelson,0
John Requa,5
Jet Li,1
Shawn Slovo,1
Kassim Jagmagia,1
Laura Zigman,1
Tracy Keenan Wynn,1
Robert Harris,1
Mario Giordano,1
Satoshi Kon,1
Stel Pavlou,0
John Bayley,1
Caroline Link,1
Phil Hay,5
Danis Tanovic,1
Robert O'Connor,0
Jennifer Jason Leigh,1
Tom Butterworth,1
Stan Seidel,0
David L. Watts,0
Wayne Wang,1
Annie Proulx,5
Elisabeth Sanxay Holding,1
Heather Juergensen,1
Jean-Marie Poiré,0
Brian Koppelman,5
Sabrina Dhawan,1
Andrew Bovell,1
Stephen M. Ryder,1
DJ Pooh,1
Adam Simon,5
Peter Gaulke,5
George Durham,0
John J. Strauss,0
Cheryl L. West,0
Stephen Belber,1
Osamu Tezuka,0
John Sweet,0
Nicole Holofcener,1
Lucrecia Martel,1
David Garrett,1
Jacques Audiard,1
Paul Germain,1
Mitch Davis,0
Miklos Nyiszli,0
Paul Felopulos,0
Sebastian Faulks,0
Stan Lee,5
Scott Silver,5
Max Allan Collins,5
Paul W.S. Anderson,5
Jeff Nathanson,5
Alex Garland,5
Paulo Lins,1
Erin Cressida Wilson,5
Gregg Chabot,1
Jay Cocks,5
Douglas J. Eboch,5
Susan Orlean,1
Michael J. Wilson,5
Hillary Seitz,5
Chris Sanders,5
Nia Vardalos,5
Harold G. Moore,1
Nancy M. Pimental,1
Kurt Wimmer,5
Mark Hanlon,1
Brent Goldberg,1
Marv Wolfman,5
Hayden Herrera,1
Feng Li,5
Ellory Elkayem,1
Michael Cunningham,5
Rob Perez,5
Mark Romanek,1
Eli Roth,5
Jean-Claude Brisseau,1
David Kendall,1
Clarence Budington Kelland,5
Saratchandra Chatterjee,1
James Kearns,5
Shonda Rhimes,1
David Benioff,5
Alan Mak,1
Stanislaw Lem,0
Michael Elliot,5
Morton S. Fine,0
Antwone Fisher,1
Will De Los Santos,0
Myeong-chan Park,0
Joseph Finder,1
A.E.W. Mason,0
Ernesto Foronda,1
Louis Begley,5
Dana Carvey,1
Shawn Schepps,1
Howard Swindle,0
Natalie Babbitt,1
Tony Gayton,1
Lucky McKee,0
Brandon Camp,1
Bradley Allenstein,0
Rebecca Wells,1
Steven Knight,5
Azie Faison Jr.,1
Charles F. Bohl,1
Jay Scherick,1
Burr Steers,0
Frank Cottrell Boyce,1
Chap Taylor,1
Janet Fitch,1
Lucas Sussman,0
Dave Barry,0
Joe R. Lansdale,1
Robert Graysmith,0
Michael Connelly,0
Ronald Roose,0
Takashi Shimizu,1
Niki Caro,1
Doris Pilkington,1
Greg Iles,0
Joe Carnahan,5
Mort Nathan,0
Peter Mullan,1
Gary M. Goodman,0
Patrick McGrath,0
David H. Steinberg,0
Joe Jarvis,1
Mark Perez,5
Ronald Lang,1
Stephen Gaghan,5
Casey Affleck,0
Cédric Klapisch,1
Adam Larson Broder,1
Temple Mathews,5
Boris Khaimsky,1
Mars Callahan,0
Moshe Diamant,0
Dashiell Hammett,0
Jaume Balagueró,1
Arlene Klasky,1
Paul Greengrass,5
Brooks Arthur,0
Coleman Hough,1
Brad Silberling,0
John Scott Shepherd,0
Jorge Saralegui,0
Susanne Bier,1
Paul Kimatian,0
Ethan Canin,1
Paul Laverty,5
Josefina Lopez,1
John Stainton,1
Mike McAlary,0
Austin Chick,1
John Carlen,1
Ted Elliott,5
Court Crandall,5
Charles Randolph,5
Kevin Grevioux,5
Garon Tsuchiya,0
Sofia Coppola,5
Larry Doyle,0
Daniel Wallace,5
Gilbert Adair,1
Bong Joon Ho,5
Andrew Stanton,5
Catherine Hardwicke,1
Troy Kennedy-Martin,5
Patty Jenkins,5
Patrick O'Brian,5
Thomas Eidson,0
Tommy Wiseau,0
Robert Hamner,5
Louis Sachar,5
Rob Zombie,5
Michael Cooney,5
Charles Frazier,5
Frank B. Gilbreth Jr.,5
Craig Mazin,5
Michele Alexander,5
William Douglas-Home,1
Lauran Paine,1
Lawrence Konner,5
David Berenbaum,5
David Dorfman,5
Chris Kentis,5
Tracy Chevalier,1
J. Mackye Gruber,5
David Griffiths,0
Eric Garcia,0
Frances Mayes,1
Laura Hillenbrand,5
Alexandre Aja,1
Dean Georgaris,5
Joe Harris,1
Martin Brest,0
David Collard,1
Cooper Layne,1
Alfred Gough,5
Geoff Rodkey,5
Alonzo Brown,1
James Cox,0
Mark A. Altman,1
Jeff Shaara,0
Andre Dubus III,1
Christian Gudegast,5
Tom McCarthy,1
Bernd Lichtenberg,5
James Vanderbilt,5
Philip Roth,0
Ralph Sall,0
Sebastian Gutierrez,5
Ashley Miller,5
Panna Rittikrai,1
Glenn Ficarra,5
Buzz Bissinger,1
Susan Estelle Jansen,1
Frank Hannah,1
Julia Dahl,1
Richard Jefferies,1
Juliette Towhidi,5
Niranjan Iyengar,1
Eric Wald,0
Fax Bahr,1
Vladimir Moiseenko,1
Roger Towne,5
Alexander Trocchi,0
Robert Souza,0
Jan Guillou,1
Sylvain Chomet,1
Dae-woo Kim,1
Charles B. Wessler,1
Robert Drewe,1
Pat Casey,5
Stephen Fry,1
Yann Samuell,1
Eve Ahlert,1
Michael Gougis,0
Anders Thomas Jensen,1
Alfred Cheung,0
Harvey Pekar,1
Fenton Bailey,0
Jason Filardi,5
Sandro Petraglia,1
Doug Jung,1
C. Jay Cox,1
Caspian Tredwell-Owen,1
Jesse Wigutow,1
Laura Angelica Simon,1
Elizabeth Hunter,1
Karl Geurs,5
Mark O'Rowe,1
David Gordon Green,0
Kim Fuller,0
Gary Stephen Ross,0
Carol Doyle,0
Damian Nieman,0
John Brownlow,1
Kate Boutilier,1
Diane Johnson,1
Camille Thomasson,0
Geoffrey Panos,1
Hector Babenco,1
Isabel Coixet,1
Neve Campbell,0
Zeke Richardson,1
Matthew Ryan Hoge,1
Sarah Dessen,0
Mogens Rukov,1
Bob Dylan,1
Jim Adler,1
David Wagner,1
Alec Berg,0
Rawson Marshall Thurber,5
Rosalind Wiseman,5
Brad Bird,5
Leigh Whannell,5
Stuart Beattie,5
Jeff Vintar,5
Paul Haggis,5
Simon Pegg,5
Helen Cross,1
Roland Emmerich,5
J.J. Connolly,1
Jared Hess,5
George Wing,5
Bernd Eichinger,5
Benedict Fitzgerald,5
Will Ferrell,5
Mort Briskin,1
Scott Kosar,5
Patrick Marber,5
Michael Winterbottom,1
George Nolfi,5
Jon Hurwitz,5
Rex Pickett,5
William Blinn,5
Shane Carruth,1
Leigh Dunlap,1
John Hamburg,5
Cate Shortland,1
Derek Drymon,5
Keir Pearson,1
Michael Pye,1
Zach Braff,1
Sarah Thorp,5
Matt Johnson,1
Taylor Hackford,5
Derek Guiley,0
Allan Knee,5
Stephen Susco,5
Jules Verne,0
Chris Van Allsburg,5
Eric Guggenheim,1
Wayne Kramer,0
Mark Amin,1
Gilles Mimouni,0
Laura Albert,1
Dyan Sheldon,1
Bill Cosby,1
Kerry Conran,0
Omar Naim,1
Masayuki Suô,5
Paddy Considine,1
Paul Zbyszewski,1
Sébastien Japrisot,1
Lukas Heller,0
Brian Dannelly,1
Jim Davis,5
Paul Weitz,1
Ronald Everett Capps,1
Mitch Rotter,0
Jacob Estes,1
Kate Gunzinger,1
Angela Robinson,0
Ernesto 'Che' Guevara,5
Bo Zenga,0
Gerry Anderson,0
Emily Fox,0
Matthew Faulk,0
M.G. Sathya,1
Steve Adams,0
Bill Naughton,0
Robert Grasmere,0
Anurag Kashyap,1
Todd R. Jones,1
Georges Chaperot,5
Steven Fechter,1
Park Chan-Wook,1
Will Finn,1
Victor Levin,0
Timur Bekmambetov,1
Stephen Jeffreys,1
Georges Bataille,1
Chris Stokes,1
Kevin Spacey,0
William J. Locke,1
Michael Clancy,0
Dennis Gansel,1
Alice Wu,1
Aditya Chopra,0
Melissa Carter,0
Aline Brosh McKenna,5
Lingard Jervey,1
Joshua Marston,1
Michael Dowse,0
Nikolaj Arcel,5
Javed Akhtar,1
Farah Khan,1
Richard Epcar,5
Chimo,1
Michael Genet,0
Robin Nishi,1
Anders Nyberg,1
Vijay Krishna Acharya,1
Rhett Reese,5
Thomas Bahmann,1
Robin Swicord,5
Deborah Moggach,5
Neil Marshall,1
Frank Miller,5
Ann Peacock,5
Steve Faber,5
Josh Friedman,5
William Monahan,5
Jamie Delano,5
Douglas Adams,5
Mark Frost,5
Lexi Alexander,1
Simon Kinberg,5
Rob McKittrick,5
Paul Hernandez,5
Mark Burton,5
Brian Nelson,5
Ann Brashares,1
Carl Ellsworth,5
Charles Belden,1
David Elliot,1
Gy Waldron,5
Johnny Cash,5
Stacy Peralta,0
Tony Kushner,5
Brett Halliday,1
Jeffrey Caine,5
Thomas Lennon,5
Kevin Bisch,5
Neil Gaiman,1
Stephen Chbosky,5
Ron Mita,5
Peter A. Dowling,5
Kôji Suzuki,1
Abdi Nazemian,0
Adam 'Tex' Davis,1
Ron Burch,1
Cliff Hollingsworth,1
Emma Thompson,5
Clive Cussler,0
Dan Gilroy,5
Terrence Malick,5
Rian Johnson,5
Greg McLean,1
Paul Harris Boardman,5
Dave Callaham,5
Roberto Orci,5
Lance Khazei,0
Ricky Blitt,1
Michael Steinberg,1
Ol Parker,5
Peter Tolan,1
Dan Futterman,1
John J. McLaughlin,1
Anya Kochoff,5
Hunter Richards,1
Tyler Perry,5
Steve Box,5
Jeffrey Hatcher,5
Tom Bleecker,0
Elizabeth Young,1
Jason Reitman,1
Ari Schlossberg,5
Geoff Deane,1
John Turturro,1
Michael McQuown,1
Robert Crais,1
Terence Winter,5
Todd Edwards,5
Guinevere Turner,0
Patrick Melton,5
Mike Jefferies,1
Mary Harron,1
George Clooney,5
Colin Patrick Lynch,1
Jeff Wadlow,5
Nick Cave,1
Roger Donaldson,0
Craig Brewer,1
Richard Shepard,0
Jennifer Weiner,5
Kate DiCamillo,1
Claire Cook,1
William Rose,5
Rebecca Miller,0
William B. Breuer,0
Tony Grisoni,0
Norman Vance Jr.,1
Elan Mastai,0
Brent Monahan,1
Niall Johnson,5
Steven Gary Banks,5
Napalee,1
David Auburn,5
David Schmidt,5
Steve Conrad,5
Eric Kripke,1
Dirk Wittenborn,1
Miranda July,1
Duncan Tucker,1
Guillermo Cabrera Infante,0
Arie Posin,0
George Webster,1
Angus MacLachlan,0
William Wisher,0
Carlos Reygadas,1
Jennifer Flackett,1
John Gatins,5
Sanjay Leela Bhansali,1
Anonymous,1
Christian Carion,1
Jenny McCarthy,1
Jonathan Safran Foer,0
Walter Kirn,5
Bill Wolff,0
Chris Morgan,5
Jonathan Nolan,5
Zack Snyder,5
Mel Gibson,5
Ewan Leslie,1
Todd Field,0
Michael Arndt,5
Peter Morgan,5
Florian Henckel von Donnersmarck,5
Robert Ben Garant,5
Alex Kurtzman,5
Russell Gewirtz,5
Adam Cooper,5
Michael Dougherty,5
J.S. Cardone,5
Danny McBride,5
Jason Smilovic,1
Shane Meadows,1
Sean Ellis,1
Bill Marsilii,5
Barry Wernick,1
Jack Black,0
Sacha Baron Cohen,5
John Heffernan,1
Mark Neveldine,0
Neil Burger,5
Zach Helm,1
Nick Cassavetes,1
John Quaintance,1
Jeff Lowell,5
Peter Buchman,5
Tom Eyen,5
Sheldon Turner,1
Yasutaka Tsutsui,1
Dan Harmon,5
Andrea Berloff,5
Don Calame,1
Allen Covert,1
Ron L. Brinkerhoff,1
Werner Herzog,0
Jake Wade Wall,5
Jeremy Garelick,5
Guillaume Canet,5
Iris Yamashita,1
Tom J. Astle,5
Richard Wenk,5
Don Payne,5
Steve Bencich,5
Luke Davies,0
Leslie Caveny,1
William Brent Bell,5
Tracy Letts,1
Michael Arlen Ross,1
Tristan Carné,1
David Von Ancken,0
Brad Gann,1
Joe Forte,1
Adam Green,1
Jamie Linden,5
Michelle Gallagher,1
Captain Mauzner,0
Doug Atchison,1
Peter Straughan,0
Cheryl McKay,1
Céline Garcia,1
David DiGilio,5
Zhihong Bian,1
Joachim Trier,0
Phil Sears,0
Sidney Lumet,0
Michael LeSieur,5
Ursula K. Le Guin,5
Christopher Cleveland,5
Goran Dukic,0
Dan Madigan,1
Steven Zaillian,5
Paul Bernbaum,0
Jean-François Halin,1
Tina Gordon,5
Anthony Horowitz,1
Chris Chow,5
Scott Glosserman,1
Ryan Fleck,1
Douglas McGrath,0
Jonathan King,1
Dianne Houston,1
Renzil D'Silva,1
Kevin Bernhardt,0
Richard Maltby Jr.,1
Ben Best,1
Mark Polish,0
David Nicholls,5
Nick Guthe,0
Todd Robinson,0
Dito Montiel,1
Robert Kurtz,0
James Moran,1
Katherine Brooks,0
Jonathan Raymond,1
Wil Shriner,0
Jane Goldman,5
Ben Affleck,0
Christopher Landon,5
Seth Rogen,5
Jonathan Lemkin,1
John Carlin,5
Edgar Wright,5
Diablo Cody,5
Rowan Joffe,5
Frank Darabont,1
Pam Brady,1
Jeff Stockwell,5
Emma McLaughlin,1
Halsted Welles,1
Jeff Cox,5
Steve Niles,1
Joby Harold,0
Jerry Seinfeld,5
Scot Armstrong,5
Shane Salerno,5
Matt Greenberg,5
Matthew Michael Carnahan,5
Andrew Dominik,1
Josh Stolberg,5
Chris Weitz,5
David Ross,1
Nacho Vigalondo,0
Justin Zackham,5
Eileen Chang,5
Oren Peli,5
Kelly Masterson,1
Jon Vitti,5
Marianne Wibberley,5
Nancy Oliver,0
Sergio G. Sánchez,5
Nichole Millard,5
Mitchell Lichtenstein,1
Dean Craig,5
Brad Copeland,5
Mark L. Smith,5
Amole Gupte,1
Todd Komarnicki,5
Scott Wiper,1
Will Forte,0
John Burnham Schwartz,0
Fernley Phillips,1
Deborah Curtis,1
Isabelle Sobelman,5
John Carney,5
Lee Anthony Smith,1
Adrienne Shelly,1
Carol Fuchs,5
Kevin Munroe,5
Jonah Markowitz,1
Chad Gomez Creasey,0
Adam Mazer,1
Doug Taylor,0
Laeta Kalogridis,5
Ed Yeager,0
Howard A. Rodman,0
Ian Mackenzie Jeffers,0
André Batista,1
Mark Wheaton,1
Céline Sciamma,1
Carey W. Hayes,1
David Kajganich,0
Marjane Satrapi,1
Robert Eisele,1
Jeff Hammond,0
Cristian Mungiu,1
Dan Fogelman,5
Gustin Nash,0
Mick Davis,0
Jez Butterworth,5
Hideaki Anno,5
Arif Aliev,1
Loren Taylor,1
Laura Kasischke,0
Adolf Burger,1
Jeff Nichols,1
Jonathan Kasdan,5
David Gilbert,1
Imtiaz Ali,1
Kelley Sane,0
Kim Barker,5
Dylan Haggerty,1
Melisa Wallack,1
Robert Adetuyi,5
Deborah Kampmeier,0
J.P. Schaefer,1
Uwe Boll,0
Garth Jennings,5
Allan Loeb,5
Melissa Rosenberg,5
Mark Fergus,5
Jonathan Aibel,5
Justin Theroux,5
Catherine Johnson,5
Bryan Bertino,5
Michael Brandt,5
Justin Haythe,5
Jason Segel,5
Grant Nieporte,5
Martin McDonagh,5
Michael Patrick King,5
Nick Schenk,5
Mark Boal,5
Art Monterastelli,5
James Watkins,1
Robert Siegel,1
Drew Goddard,5
J. Michael Straczynski,5
John Glenn,5
Vy Vincent Ngo,5
Michael D. Weiss,5
Ric Roman Waugh,0
Sean Anders,5
Andrew Adamson,5
John Boyne,1
John Ajvide Lindqvist,1
Timothy Dowling,5
Clayton Frohman,1
Lucy Dahl,1
Brock Norman Brock,1
Nicholas Stoller,5
Nick Santora,0
Adam Sandler,5
John Claflin,1
Lorene Scafaria,5
Karey Kirkpatrick,5
Beau Thorne,5
Dustin Lance Black,5
Etan Cohen,5
Jody Savin,0
Maya Forbes,5
Toni Ann Johnson,5
Darren Smith,0
Dirk Blackman,0
David Magee,1
Enda Walsh,1
Diane English,1
Matt Lopez,5
Jeff Buhler,1
Kristofor Brown,1
Adam Sztykiel,5
Dana Fox,5
David Lindsay-Abaire,5
Robert Knott,1
Barry L. Levy,5
Heidi Ferrer,1
Robert Fyvolent,1
John Woo,5
Megan Holley,1
Peter Barsocchini,5
Jenny Lumet,1
Duncan Brantley,0
Henry Gilroy,5
Michael McCullers,5
Joseph Kwong,5
Caroline Thompson,0
John Erick Dowdle,5
Jason Richman,0
Matt Allen,5
Elizabeth Chandler,1
José Saramago,0
Sharman Macdonald,1
Shamim Sarif,1
Roberto Saviano,1
Mark Richard,0
Maurice G. Dantec,1
Jee-woon Kim,1
Ronnie Christensen,0
Luke Dawson,5
Mark Bomback,5
Piyush Mishra,1
Olly Blackburn,1
Frank Spotnitz,1
Gabrielle Bell,1
Alex Kendrick,5
Jeffrey Nachmanoff,1
Jordan Cahan,1
Hu Hong,0
Darnell Martin,0
Tony Burgess,0
Analisa LaBianco,5
Ari Folman,1
Kundô Koyama,5
Glenn Gers,1
Michel Gondry,1
Art Linson,0
Rob Greenberg,0
Mabrouk El Mechri,1
Chris McKenna,5
Jonathan Levine,1
Courtney Hunt,1
S.R. Bindler,0
Joel Hopkins,1
Kent Harper,0
David Hayter,5
Jon Lucas,5
Scott Neustadter,5
Michael Robert Johnson,5
Neill Blomkamp,5
David Leslie Johnson-McGoldrick,5
Rajkumar Hirani,5
Ernest Cline,0
Henry Selick,5
Duncan Jones,1
Ronan Bennett,5
Tom Six,1
Peter Chiarelli,5
Jaco Van Dormael,0
Will Gluck,5
Efthymis Filippou,1
Joe Penhall,1
Shauna Cross,5
Eduardo Sacheri,1
Travis Milloy,0
Adam Alleca,1
Spike Jonze,1
Harold Ramis,1
Geoffrey Fletcher,5
Phil Lord,5
Anthony Peckham,5
Nicole Eastman,5
Ricky Gervais,1
Olatunde Osunsanmi,1
Matthew Sand,1
Jon Ronson,1
Chris Henchy,0
Christopher Isherwood,1
Philippe Diaz,1
Jason Hall,5
Ray Wright,1
Eric Bress,5
Randy T. Dinzler,0
Michael Spierig,1
Lynn Barber,1
Scott Cooper,1
Michael Berg,5
Eric Warren Singer,5
Craig Rosenberg,5
Todd Farmer,5
Tracey Jackson,5
Pamela Pettler,1
Vincenzo Natali,0
Thomas Bidegain,1
Greg DePaul,5
Michael Ferris,1
Nicolas Winding Refn,1
Andrea Arnold,1
David Bourla,1
Agnieszka Wojtowicz-Vosloo,0
Kevin James,5
Émile Zola,1
Reggie Rock Bythewood,1
Julia Baird,1
Jonas Frykberg,5
William M. Finkelstein,0
Michael Jai White,0
Michael C. Martin,1
Jesse Armstrong,1
Dan Berendsen,5
Asghar Farhadi,1
Daniel Kunka,0
Barbara Alberti,1
Ti West,0
Àlex Pastor,1
Mike Reiss,1
Dave Eggers,0
Jody Hill,1
Gary Young,1
Scott Z. Burns,5
John Hindman,1
Joe Stillman,5
Cary Joji Fukunaga,0
Raymond De Felitta,1
Edmonde Charles-Roux,1
Tommy Wirkola,5
Mamoru Hosoda,1
Alessandro Camon,0
Rick Jacobson,1
Jon Hoeber,5
Michele Mulroney,5
Tomm Moore,0
J Blakeson,1
Andy Stock,1
Zach Cregger,0
Justin Marks,5
Michel Franco,1
Robert Munic,1
Tatiana von Fürstenberg,0
Ben Court,1
Mark Heyman,5
Peter Craig,5
Rob Reiner,0
Gareth Edwards,1
Adam Rockoff,0
Steve Antin,1
Craig Titley,5
Travis Beacham,5
Gary Whitta,5
Derek Cianfrance,5
Patrick O'Neill,5
Pete Goldfinger,5
Danny Boyle,1
Adam McKay,5
Edward Kitsis,5
Ian Deitchman,5
Park Hoon-jung,1
Bert V. Royal,5
David Seidler,5
Matthew Vaughn,1
Alan Schoolcraft,5
Christopher Murphey,5
Ryan Murphy,5
David Michôd,0
Josh Heald,1
Jackie Filgo,1
Alex Litvak,5
Chris Sparling,0
Peter Schink,1
Will Fetters,5
Debra Granik,1
Peter Allen,1
Taika Waititi,5
Slavomir Rawicz,0
Bob DeRosa,1
Eli Craig,1
Alan R. Cohen,5
Anna Boden,5
Josh Klausner,5
Christopher Markus,5
Matt Reeves,1
Christopher Morris,1
Floria Sigismondi,0
Panos Cosmatos,0
Joshua Cordes,5
Phra Sripariyattiweti,1
Jeong-beom Lee,1
André Øvredal,1
Katherine Fugate,5
Jose Rivera,1
David Guion,5
Richard Ayoade,1
Amy Andelson,5
Dario Poloni,1
Robb Cullen,1
Quentin Dupieux,0
Alejandro G. Iñárritu,5
Moe Jelline,1
Adi Hasak,1
Kaneo Ikegami,1
Marcus Hinchey,1
Lucinda Coxon,1
Geoff LaTulippe,1
Tai-lee Chan,5
Jonathan Bernstein,1
Larysa Kondracki,1
Posy Simmonds,1
Jordan Melamed,0
Ki-young Kim,1
Mike Mills,1
John Orloff,1
Andy Bellin,0
Shibani Bathija,1
Massy Tadjedin,1
John Wells,0
Mark Duplass,1
Michael R. Perry,5
John Curran,0
Robert Pulcini,0
Huck Botko,5
Abe Sylvia,0
Baran bo Odar,1
Kate Angelo,5
Chuck Konzelman,1
Vikramaditya Motwane,1
Shana Feste,1
Craig Pearce,1
Daniel Espinosa,1
Nick Damici,0
Anthony Jaswinski,5
James D. Solomon,0
Michael Carnes,1
Julie Taymor,0
Sacha Gervasi,0
Jennifer Ventimilia,5
Tatiana De Rosnay,1
Sngmoo Lee,0
Unknown,5
Spencer Susser,0
Nick Tomnay,0
Mark Jacobson,0
Alain Corneau,1
Dan Rush,0
Kristen Wiig,5
Olivier Nakache,5
Tate Taylor,5
Elizabeth Meriwether,5
Gavin O'Connor,0
Keith Merryman,5
Charley Parlapanides,5
Gene Stupnitsky,5
Steve McQueen,1
Oliver Butcher,5
Thomas Dean Donnelly,0
Ben Ripley,5
Michael Markowitz,5
Carlos Saldanha,5
Thierry Jonquet,1
Julia Leigh,1
Rick Jaffa,5
John Romano,1
Shawn Christensen,1
Gareth Evans,1
J.C. Chandor,1
Sean Durkin,1
Seth Lochhead,1
Will Reiser,1
Hergé,5
Jon Spaihts,5
Eric Heisserer,5
Simon Barrett,5
Farhan Akhtar,1
Alice Addison,1
Ben Zook,5
Nick Bakay,5
Pete Jones,1
Brian Gatewood,1
Scott M. Gimple,5
Christopher Bertolini,5
Matt Sherring,0
Will Hayes,1
David Loucka,5
Marti Noxon,1
Michel Hazanavicius,5
Pierre Drieu La Rochelle,1
Shaun Grant,0
Jennie Snyder Urman,1
Cory Goodman,5
Hamish McColl,5
Iain Morris,5
Gabe Sachs,5
Ben Wheatley,1
Yasmina Reza,1
Joe Cornish,0
John Michael McDonagh,1
Mike Cahill,1
Kim Fupz Aakeson,1
Drake Doremus,1
Karyn Bosnak,1
Carl Lund,1
Rob Sprackling,5
Tom Wheeler,5
Daniel Barnz,1
Gavin Wiesen,1
Adrian Hodges,1
Paolo Sorrentino,5
Jason A. Micallef,1
Skip Hollandsworth,1
Bragi F. Schut,5
Gustavo Hernández,1
Stephen J. Anderson,1
John Davies,0
Karl Mueller,0
Sonny Mallhi,1
Michael Petroni,5
Zal Batmanglij,0
Madonna,0
Jay Baruchel,1
Bertrand Bonello,1
Jesse Peretz,1
Andrew Haigh,1
John Garvin,5
Ulf Ryberg,1
Karl Gajdusek,5
Jason Keller,0
Tetsurô Sayama,1
Michael Diliberti,1
Abi Morgan,5
Lynn Shelton,1
Don Ferrarone,1
Sarah Polley,1
Alex Gregory,1
Stéphane Rybojad,1
Brian Miller,1
Brian Patrick O'Toole,0
Tine Byrckel,1
Leslie Schwartz,1
Stephen Dyer,0
Kyle Killen,0
Laurent Turner,1
Matthew Fogel,1
Ercan Kesal,1
Karen Janszen,5
Kay Cannon,5
Tobias Lindholm,1
Chris Terrio,5
Lee Child,5
David Mitchell,1
Evan Daugherty,5
Seth MacFarlane,5
Scott Derrickson,5
David Caspe,0
Brenda Chapman,5
Seth Grahame-Smith,5
Reid Carolin,5
Peter Baynham,5
Len Wiseman,5
David Guggenheim,5
Rich Moore,5
Matt Drake,5
David Wain,1
Yann Martel,5
Brian Gunn,5
Jared Stern,1
Derek Connolly,5
Max Landis,5
Dan Mazeau,5
Pablo F. Fenjves,1
Morgan Land,0
Moira Buffini,1
Eric Darnell,5
Ben Lewin,1
Susan Hill,5
Mike Cerrone,1
Craig Zobel,1
Dax Shepard,1
Kurt Johnstad,5
Jack Kerouac,0
Lisa Azuelos,0
Brad Miska,1
David Cohen,0
Stephen Elliott,0
Amanda Brody,5
Zoe Kazan,1
Josh Boone,1
Juliet Snowden,5
M.J. Bassett,1
Tim Macy,0
Marc Moss,0
Randy Brown,1
Lee Kirk,1
Chris Butler,0
Aaron Guzikowski,5
Rodrigo Cortés,1
Nicholas Jarecki,1
RZA,1
Leonard Ripps,1
Bodil Steensen-Leth,1
Noah Haidle,0
Zach Dean,0
Michael Wallach,1
Brian Klugman,1
Johan Heldenbergh,1
Sean Baker,1
John Hyams,0
John Krasinski,0
Lucy Alibar,1
Juan Mayorga,1
Todd Lincoln,0
James Mather,1
Kario Salem,0
Stacy Sherman,0
Leslye Headland,1
D.V. DeVincentis,0
Sujoy Ghosh,1
Lisa Addario,5
Hannah Shakespeare,1
Josh Radnor,0
Petter Skavlan,1
Matt Ross,1
Juan Solanas,0
David Chase,0
Andrew Stern,0
Alice Lowe,1
Gideon Defoe,5
Rashida Jones,1
Vanessa Taylor,5
Ant Timpson,1
Ole Meldgaard,1
Nick Love,1
Anurag Basu,1
Guy de Maupassant,1
Paul Andrew Williams,1
Bob Barlen,1
Katie Anne Naylon,1
Jack Amiel,0
Nancy Doyne,0
Max Werner,0
Benoît Jacquot,1
Christopher Ford,1
Drew Pearce,5
Chad Hayes,5
Christopher L. Yost,5
Walter Campbell,0
Abdellatif Kechiche,1
Jacques Lob,1
Bob Fisher,5
Jennifer Lee,5
Dan Scanlon,5
Joseph Gordon-Levitt,1
Rocky Russo,1
Craig Borten,1
Nat Faxon,1
Vince Vaughn,1
Fede Alvarez,5
Creighton Rothenberger,5
Brad Ingelsby,1
James Ward Byrkit,1
Gavin Hood,1
Wentworth Miller,1
Jessica Postigo,1
Andy Muschietti,5
Miles Chapman,5
Adam Marcus,1
Anne Fontaine,0
Kyle Ward,0
Isaac Marion,5
Marc Guggenheim,5
Will Beall,1
Mike Flanagan,5
Aharon Keshales,1
Richard D'Ovidio,5
Maggie Carey,1
Lawrence D. Cohen,5
Darren Lemke,5
Blake Masters,5
Katie Dippold,5
Misan Sagay,1
Keith Bunin,1
Danny Strong,5
Andrew Knauer,1
Jon S. Baird,1
Ken Scott,1
Neil Elman,1
Destin Daniel Cretton,1
Kelly Marcel,5
Markus Zusak,5
Daniel Schechter,0
Gary Hawkins,0
Joey Soloway,1
Erica Rivinoja,5
Jeremy Saulnier,0
Scott Stewart,1
Bob Nelson,1
Chris Galletta,1
Prasoon Joshi,1
Joe Ahearne,1
Brian Tucker,0
Pat Rushin,0
Guy Holmes,0
Jonathan Goldstein,5
Jerusha Hess,1
Austin Bunn,1
Ryan Coogler,5
Gia Coppola,1
Johnny Knoxville,5
Steve Coogan,5
Matt Whiteley,1
Philip Gelatt,1
Dan Mazer,1
Jonathan Asser,1
Michael Starrbury,1
Marlon Wayans,5
Isao Takahata,1
Fyodor Dostoevsky,1
Hussain Dalal,1
Meg Rosoff,0
Peter Landesman,1
Amy Jump,1
Kevin Dreyfuss,1
Daniel Domscheit-Berg,0
Pawel Pawlikowski,1
Marion Nelson,1
Andrew Dodge,0
Lake Bell,1
David Lowery,5
Michael G. Cooney,0
Ritesh Batra,1
Sean Finegan,0
Derek Kolstad,5
Gillian Flynn,5
Stefan Zweig,5
Damien Chazelle,5
Noah Oppenheim,5
Jemaine Clement,1
Graham Moore,5
