writer,writer_score
John Brownjohn,0
Chris Bryant,0
Harry Shearer,0
Claude Berri,1
Stephen Volk,1
Robert T. Megginson,1
Ronald Shusett,0
Lucy Irvine,0
George Gallo,5
Walon Green,0
Rhet Topham,1
Shel Lytton,0
David Franzoni,5
Bill Phillips,1
Edwin Blum,1
Stephen Tobolowsky,1
Raymond Briggs,1
Gail Morgan Hickman,1
Diana Henstell,1
Tom DeSimone,1
Leo Garen,0
Donald P. Borchers,1
Garry Marshall,1
Ted Nicolaou,1
Thomas Michael Donnelly,1
William Mastrosimone,1
Leonard Michaels,1
Gene Wilder,0
Marie Rivière,1
James Orr,1
Paul De Meo,1
Robert Gosnell,1
Laurie Craig,1
Kevin Tenney,1
Michael Frayn,0
Ivan Reitman,5
Lee David Zlotoff,1
Rocco Urbisci,1
Michael Patrick Goodman,1
Evan Archerd,1
James Cresson,1
Beth Henley,1
Becky Johnston,1
David Parker,0
Janis Allen,1
Colin MacInnes,1
Jeffrey Delman,1
James Booth,1
William Goldman,0
Barney Cohen,0
Tony Kayden,1
Emilio Estevez,1
John Kohn,0
David Himmelstein,0
Mark Feldberg,1
David Beaird,1
W.E. Johns,0
Edward Behr,1
Moshé Mizrahi,1
Denys Arcand,1
Mark Griffiths,1
Douglas Bowie,1
Alan Friedman,1
David Rayfiel,0
Naomi Foner,0
Bill Sherwood,0
Steve Zacharias,1
George Arthur Bloom,1
Bob Weinstein,1
Marsha Norman,1
Wayne Crawford,1
Paul Nicholas,1
Ross Macdonald,0
Milton Wexler,1
Thom Keyes,0
Bertrand Blier,1
Jon Boorstin,1
Scott Fields,1
Julian Bond,1
Leon Isaac Kennedy,1
Renny Harlin,0
Linda Remy,1
Eliseo Subiela,0
Kent Stowell,1
Bruce Beresford,0
Henning Carlsen,1
Malcolm Barbour,1
T.L. Lankford,0
Tom Kempinski,1
John Sheppard,1
Richard Wesley,0
Deran Sarafian,0
Leo Fong,0
Claude Lelouch,0
Jan Fischer,1
Stanley Kubrick,5
Jim Thomas,5
Edward Neumeier,5
David Simkins,1
Shane Black,5
Kathryn Bigelow,1
Edward Rugoff,1
James Dearden,5
Clive Barker,1
Tom Stoppard,1
Kenneth Fearing,1
John Updike,1
John Patrick Shanley,5
Stanley Weiser,1
Mitch Markowitz,5
Michael Swerdlick,5
Leslie Dixon,5
Gary Conway,0
Mark Peploe,1
Bret Easton Ellis,1
Wim Wenders,5
James L. Brooks,5
William Dear,1
Carolyn Lefcourt,1
Tab Murphy,5
Virginia C. Andrews,1
Mick Garris,5
Edmond Rostand,1
Stu Silver,1
Michael Barrie,1
Helene Hanff,1
Michael Nankin,1
John R. Cherry III,1
Robert Altman,0
Anne Holden,1
Charles Bukowski,1
Louis Malle,1
Andrea Dunbar,1
John Boorman,1
Dick Wolf,0
Elaine May,0
Norman Mailer,0
Linda Palmer,1
Eleonore Adlon,1
Richard Christian Matheson,0
Alberto Piferi,0
William Phelps,1
Nicholas Conde,1
Brian Garfield,0
A.J. Quinnell,5
Richard Sale,1
James Komack,1
Howard Franklin,0
Andrew Smith,0
John Milius,0
Martin Andersen Nexø,1
Eric Roth,5
George Axelrod,1
Janice Karman,1
Tamar Simon Hoffs,1
Ron Oliver,1
Joe Menosky,1
Manya Starr,1
Denis Hamill,1
Simon Gray,0
Lorne Cameron,5
Doug Lefler,0
Clark Howard,1
Irwin Yablans,0
David Leland,0
René Laloux,1
David Freeman,0
David Berry,1
John Lahr,1
Frank Deese,0
Avi Kleinberger,1
Marilynne Robinson,1
Jack Higgins,0
Don Keith Opper,0
William P. Wood,0
Mario Puzo,1
Michael Hickey,0
Dave Eisenstark,0
